,Unnamed: 0,type,url,displayUrl,caption,commentsCount,likesCount,labels,labels_str
1055,1055,Image,https://www.instagram.com/p/CgmKMvxuuKZ/,https://instagram.fbho4-3.fna.fbcdn.net/v/t51.2885-15/295996915_406142601372569_1523330921873582519_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fbho4-3.fna.fbcdn.net&_nc_cat=105&_nc_ohc=S6viu5Gm6-oAX--ch5B&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAs5MGHVOshT24whNSrBOM299YhMvZlTxmYrR-G4EDy2A&oe=638B76AB&_nc_sid=86f79a,"Heels made with high standards ✨💛 @aleksic_twins⁠
⁠
Shop Item #: 10034851⁠
⁠
#SHEIN #SHEINforall #SHEINSS22 #summer #sandals #chic",15,7143,"['Footwear', 'Shoe', 'Leg', 'Basic pump', 'Sandal', 'High heels', 'Wood', 'Natural material', 'Foot', 'Fashion design']",Footwear Shoe Leg Basic pump Sandal High heels Wood Natural material Foot Fashion design
1056,1056,Image,https://www.instagram.com/p/CgmG2l-u1lK/,https://instagram.fbho4-3.fna.fbcdn.net/v/t51.2885-15/295805267_166147722613094_3366720594274610907_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fbho4-3.fna.fbcdn.net&_nc_cat=102&_nc_ohc=T-sFKorICJUAX8P2pc6&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCpiaSa6jbqlGmcYZ1RN_xu8XrXDAUmlMO--iLleti8vg&oe=638BD2F9&_nc_sid=86f79a,"Boss Lady Vibes ✨🤎 @reneeariel⁠
⁠
Shop Item #: 6918172⁠
⁠
#DAZYfashion #plaid #DAZY",27,7796,"['Lip', 'Shoulder', 'Tartan', 'Neck', 'Sleeve', 'Waist', 'Thigh', 'Eyewear', 'Knee', 'Cool']",Lip Shoulder Tartan Neck Sleeve Waist Thigh Eyewear Knee Cool
1058,1058,Image,https://www.instagram.com/p/CgkHupYPTuO/,https://instagram.fbho4-4.fna.fbcdn.net/v/t51.2885-15/295916668_1147980745757665_1318219754621314994_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fbho4-4.fna.fbcdn.net&_nc_cat=101&_nc_ohc=kUz4A29Sg0YAX_Q0dpN&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA6AqB3WcDkOfE-katimhISN9-CjVojmmkn5NIB52Wv8A&oe=638AD0B9&_nc_sid=86f79a,"#selfie time babes 🤳✨ @natalialozanofr⁠
⁠
Shop Item #: 10523907⁠
⁠
#SHEIN #SHEINforall #SHEINSS22 #summer #SHEINcurve #fashion #OOTD #chic #summervibe #fashion",152,11777,"['Joint', 'Picture frame', 'Brassiere', 'Shelf', 'Thigh', 'Waist', 'Lingerie', 'Chest', 'Necklace', 'Knee']",Joint Picture frame Brassiere Shelf Thigh Waist Lingerie Chest Necklace Knee
1059,1059,Image,https://www.instagram.com/p/CgkEb_9OcWd/,https://instagram.fbho4-1.fna.fbcdn.net/v/t51.2885-15/296135306_181447774356728_1187928625919655800_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.fbho4-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=zK5y81J6KgEAX-vj3h4&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDfz52Yo1fSA90gnyp3n0ejH7TiFkXnSarMEw0XUy2HBQ&oe=638C7988&_nc_sid=86f79a,"Bringing the heat as usual 🔥  @gabipasscoal⁠
⁠
Shop Item #: 10270043, 8417502⁠
⁠
#SHEIN #SHEINforall #SHEINSS22 #summer #summervibe #fashion",76,6857,[],
1060,1060,Image,https://www.instagram.com/p/CgkEb_9OcWd/,https://scontent-lax3-1.cdninstagram.com/v/t51.2885-15/296135306_181447774356728_1187928625919655800_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=zK5y81J6KgEAX9AoIVn&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBu1i_0HMqMbQt3vEiqcNsXPZaV9WKxwCGTRH4zK1zsdw&oe=638C7988&_nc_sid=86f79a,"Bringing the heat as usual 🔥  @gabipasscoal⁠
⁠
Shop Item #: 10270043, 8417502⁠
⁠
#SHEIN #SHEINforall #SHEINSS22 #summer #summervibe #fashion",76,6857,"['Plant', 'Green', 'Sky', 'Waist', 'Tree', 'Thigh', 'Grass', 'Leisure', 'Trunk', 'Summer']",Plant Green Sky Waist Tree Thigh Grass Leisure Trunk Summer
1061,1061,Image,https://www.instagram.com/p/CgkA3d0sC33/,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/295771045_3181473308731559_8315614622136684453_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_ohc=1ENYIeQn_GoAX8GZ5Cz&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCrAedBZPUwd4Aemw59xyYkFQHXO2NNVxBHBuUi_UDKzg&oe=638C5E56&_nc_sid=86f79a,"Summertime on my mind 24/7 ❤️‍🔥 @bobbiwilliams_⁠
⁠
Shop Item #: 9099072⁠
⁠
#SHEIN #SHEINforall #SHEINSS22 #summer #chic #fashionista #OOTD",39,11366,"['Arm', 'One-piece garment', 'Dress', 'Strapless dress', 'Human body', 'Neck', 'Waist', 'Sleeve', 'Thigh', 'Tree']",Arm One-piece garment Dress Strapless dress Human body Neck Waist Sleeve Thigh Tree
1063,1063,Image,https://www.instagram.com/p/Cgj7sbdO3ab/,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/296480979_1071777396788929_4427809739544612806_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=nkVmcMg3HUYAX8CjDKV&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC0wvCIwp6HV9ZUlu2zAXNyGnOSNz-agrNW_iw_457Mqg&oe=638C950A&_nc_sid=86f79a,"Summer lovin 💥  @patricarrillo_⁠
⁠
Shop Item #: 7940202⁠
⁠
#SHEIN #SHEINforall #SHEINSS22 #summer #bikini #summervibe",35,8925,"['Clothing', 'Joint', 'Stomach', 'Leg', 'Sunglasses', 'Swimsuit top', 'Brassiere', 'Lingerie top', 'Waist', 'Thigh']",Clothing Joint Stomach Leg Sunglasses Swimsuit top Brassiere Lingerie top Waist Thigh
1065,1065,Image,https://www.instagram.com/p/Cgj4Q8BsI8y/,https://scontent-lax3-1.cdninstagram.com/v/t51.2885-15/296088326_440313991440608_2545407493799248696_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=sElPAO-Zj6AAX9C2NTs&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDs6kFIh7m6S4CNarZs3w8ltgoyMl588Qp68v91xZt_6Q&oe=638B0BD8&_nc_sid=86f79a,"Make waves with this fit 🩱@anndreaalc⁠
⁠
Shop Item #: 10365011⁠
⁠
#SHEIN #SHEINforall #SHEINSS22 #summer #SHEINcurve #chic #vacation",51,8441,"['Clothing', 'Hair', 'Water', 'Cloud', 'Sky', 'Swimsuit top', 'Swimwear', 'Azure', 'Brassiere', 'Happy']",Clothing Hair Water Cloud Sky Swimsuit top Swimwear Azure Brassiere Happy
1066,1066,Image,https://www.instagram.com/p/Cgj2rXDr8bm/,https://scontent-lax3-1.cdninstagram.com/v/t51.2885-15/295887587_1128532404543088_2304805865677398571_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=104&_nc_ohc=XoZDQ4tyaekAX91B2eh&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDcdJVzyeij4fyVytzgV4npFRmJ0uWPcUQ9QhkzfmSKOA&oe=638C2095&_nc_sid=86f79a,"For those casual days out and about 🌴  @olivia.wagnerrr⁠
⁠
Shop Item #: 5324497⁠
⁠
#SHEIN #SHEINforall #SHEINSS22 #summer #summervibe #chic #OOTD #fashion",45,7230,"['Glasses', 'Smile', 'Plant', 'Vision care', 'Arm', 'Shoulder', 'Goggles', 'Sunglasses', 'Eyewear', 'Waist']",Glasses Smile Plant Vision care Arm Shoulder Goggles Sunglasses Eyewear Waist
1067,1067,Image,https://www.instagram.com/p/Cgj00_ytd8q/,https://scontent-lax3-2.cdninstagram.com/v/t51.2885-15/296069033_1074038459909711_1276026119639286567_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_cat=111&_nc_ohc=GkAcwRcP12YAX-NTvTM&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBMdwI-PNXtxOFRyOp5pilVXAv--Z8YvK9hgq0achlJlQ&oe=638CBB50&_nc_sid=86f79a,"BEACH: Best Escape Anyone Can Have 🌊✨ @_rosaliedupont⁠
⁠
Shop Item #: 2165235⁠
⁠
#SHEIN #SHEINforall #SHEINSS22 #summer #bikini #summervibe #vacation #beach",57,21431,"['Hair', 'Sky', 'Swimsuit top', 'Lingerie top', 'Brassiere', 'Azure', 'Swimwear', 'Swimsuit bottom', 'Smile', 'Thigh']",Hair Sky Swimsuit top Lingerie top Brassiere Azure Swimwear Swimsuit bottom Smile Thigh
