,post_url,num_comments,num_likes,caption,image_url,is_video
10,https://www.instagram.com/p/CGXeDaHi-gl/,125,19959,"FW20 Campaign. Woman Collection
Creative Direction: @fabienbaron
Stylist: Karl Templer #KarlTempler
Hair and Make up: @guidopalau & @diane.kendal

Thank you @riannevanrompaey @mona_tougaard @sachaquenby @mikaschndr #aw20 #zarawoman #zaracampaign #fw20",https://scontent-ort2-1.cdninstagram.com/v/t51.2885-15/e35/121703362_1512903548879884_4319046124687969407_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com&_nc_cat=1&_nc_ohc=17Qh-B6AQ2gAX_12wQA&_nc_tp=18&oh=a577976451e166edb7ddb9d3d368d6d6&oe=5F933700,True
11,https://www.instagram.com/p/CGW-08ShLvp/,426,89635,"FW20 Campaign. Woman Collection
Creative Direction: @fabienbaron
Photographs: Steven Meisel #StevenMeisel
Stylist: Karl Templer #KarlTempler
Hair and Make up: @guidopalau & @diane.kendal

Thank you @riannevanrompaey @mona_tougaard @sachaquenby @mikaschndr #aw20 #zarawoman #zaracampaign #fw20",https://scontent-ort2-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/121330195_2817421655250355_4594672246235609001_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com&_nc_cat=1&_nc_ohc=Tr-MCW-5OZgAX8LU7pq&_nc_tp=15&oh=17841732ca1eb9e0c1124c283ac7d3ea&oe=5FB95D01,False
12,https://www.instagram.com/p/CGQXVIVCV4C/,213,23367,FW20 Kids campaign.  Available October 15. #zaracampaign #zarakids @zarakids,https://scontent-ort2-1.cdninstagram.com/v/t51.2885-15/e35/121314515_3162112260582175_7577742234932340096_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com&_nc_cat=1&_nc_ohc=19ORNv-_vQEAX_L1XzJ&_nc_tp=18&oh=528ffdc67c2af412b306ff64b9cf3a0d&oe=5F93939E,True
13,https://www.instagram.com/p/CGPhWlrCI8f/,128,24665,FW20 Man campaign.  Available October 15. #zaracampaign #zaraman @zaraman,https://scontent-ort2-1.cdninstagram.com/v/t51.2885-15/e35/121148840_1245760769090805_4984801716167559047_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com&_nc_cat=109&_nc_ohc=eGay7o7aEXkAX-LpZxo&_nc_tp=18&oh=840e9e836c8ff4180fd591c8ac189c71&oe=5F93432A,True
14,https://www.instagram.com/p/CGPJymJCHEi/,140,26870,FW20 Woman campaign.  Available October 15. #zaracampaign #zarawoman,https://scontent-ort2-1.cdninstagram.com/v/t51.2885-15/e35/121146319_361954671520288_2224682345213838324_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com&_nc_cat=104&_nc_ohc=vCbMSa1wmEwAX8zCAEh&_nc_tp=18&oh=8d41d35f230ffeedea70cf67e4023a6b&oe=5F938A53,True
15,https://www.instagram.com/p/CGLGiKyhoYJ/,266,35956,FW20 campaign. Coming soon #zaracampaign #zarakids @zarakids,https://scontent-ort2-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/120882053_788863858353453_3726585498533773828_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com&_nc_cat=109&_nc_ohc=6GdpjPGX7gcAX9rPI7x&tp=19&oh=231b61e88ef543fcd36de6d5fd36559e&oe=5FBB0C2C,False
16,https://www.instagram.com/p/CGKrbgHBmUZ/,199,38500,FW20 campaign. Coming soon #zaracampaign #zarawoman,https://scontent-ort2-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/121124602_254182709344290_335201485951311479_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com&_nc_cat=106&_nc_ohc=409s-WcWzTcAX86HXek&tp=19&oh=69429afa0a3531922199830c2ce21739&oe=5FBC4C21,False
17,https://www.instagram.com/p/CGJ_9rWh3Sv/,118,29410,FW20 campaign. Coming soon #zaracampaign #zaraman @zaraman,https://scontent-ort2-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/121202358_158106045958385_5685684629495695995_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com&_nc_cat=105&_nc_ohc=bgDFLLxMKBUAX9J-vcz&tp=19&oh=7fe674964c6bd73885b0d697097373e7&oe=5FB91F43,False
18,https://www.instagram.com/p/CGIZBCFB4Ol/,197,59159,"Archive Collection 1996/2012 — Launching a re-edition of iconic classics from our archives. 

Spring/Summer 2011
Stella Tennant by David Sims

Reviving Zara campaigns from the last decades, the collection features re-edited garments from past seasons that are showcased through a selection of campaign images, giving them an updated look #zarawoman #zaraarchives",https://scontent-ort2-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/121196527_974752259669343_1963273716344597117_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com&_nc_cat=103&_nc_ohc=zR0A06lj-HsAX-a5ypc&tp=19&oh=8f5d83a514b3d8d2af02c58a9fdcd354&oe=5FBA8C72,False
19,https://www.instagram.com/p/CGH0no6BFlN/,158,46859,"Archive Collection 1996/2012 — Launching a re-edition of iconic classics from our archives. 

Autumn/Winter 1998/99

Amber Valletta by J.M.Ferrater

Reviving Zara campaigns from the last decades, the collection features re-edited garments from past seasons that are showcased through a selection of campaign images, giving them an updated look #zarawoman #zaraarchives",https://scontent-ort2-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/120844807_3310867218960794_7220254150171452973_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com&_nc_cat=102&_nc_ohc=W8gr7yzzkc4AX-2wWpZ&tp=19&oh=ef1e5bb8dc03e63c923a7a77b6e9725e&oe=5FBA1D3C,False
