,words,freq
435,initial,86
436,new,86
437,edge,85
438,awesome,85
439,refreshing,85
440,layer,85
441,kind,85
442,recedes,85
443,starts,84
444,ruby,84
445,make,84
446,rum,83
447,straw,83
448,cant,83
449,ml,83
450,moderately,82
451,bomb,82
452,cake,82
453,brett,82
454,mixed,81
455,smoke,81
456,plum,81
457,consumed,81
458,noticeable,81
459,toasty,80
460,across,80
461,musty,80
462,opens,80
463,citrusy,80
464,far,80
465,incredible,80
466,goes,80
467,tones,79
468,blueberry,79
469,may,79
470,bubbly,78
471,another,78
472,lactic,78
473,topped,78
474,massive,78
475,lovely,77
476,near,77
477,whiskey,77
478,raspberries,76
479,ago,76
480,decadent,76
481,start,76
482,didnt,76
483,round,76
484,point,76
485,motor,76
486,peaches,76
487,bean,76
488,ba,76
489,completely,76
490,prominent,75
491,coating,75
492,feels,75
493,things,75
494,citra,75
495,figs,75
496,passion,74
497,gets,74
498,drinks,74
499,want,74
500,experience,74
501,days,74
502,interesting,74
503,see,74
504,passionfruit,73
505,brandy,73
506,marshmallow,72
507,hit,72
508,gentle,71
509,dankness,71
510,pith,71
511,hits,71
512,peppery,71
513,mellow,71
514,chili,71
515,edges,70
516,world,70
517,berry,70
518,linger,69
519,legs,69
520,take,69
521,ton,69
522,grapes,69
523,immediately,69
524,perhaps,69
525,swallow,69
526,backbone,68
527,close,68
528,reviewed,68
529,real,68
530,blanket,68
531,sweeter,67
532,despite,67
533,pungent,67
534,cut,67
535,double,67
536,draft,67
537,typical,67
538,soapy,67
539,delicate,66
540,booziness,66
541,cola,66
542,film,66
543,version,66
544,depth,66
545,cellar,65
546,wasnt,65
547,might,65
548,hidden,65
549,vinegar,65
550,surface,65
551,oh,64
552,add,64
553,unique,64
554,go,64
555,favorite,63
556,spotty,63
557,straight,63
558,leave,63
559,came,63
560,else,63
561,trillium,63
562,picked,63
563,made,63
564,especially,62
565,damn,62
566,classic,62
567,lactose,62
568,although,62
569,lambic,62
570,dryness,61
571,layers,61
572,purchased,61
573,ipas,61
574,anything,61
575,visible,61
576,impressive,61
577,barrels,61
578,dates,61
579,pithy,61
580,cold,60
581,certainly,60
582,robust,60
583,different,60
584,aggressive,60
585,found,60
586,tiny,59
587,spices,59
588,give,59
589,towards,59
590,short,59
591,coats,59
592,bottom,59
593,finally,59
