,words,freq
435,pink,87
436,nutty,87
437,plum,86
438,make,86
439,cant,85
440,recedes,85
441,ruby,85
442,awesome,85
443,new,85
444,rum,85
445,initial,85
446,edge,84
447,starts,84
448,ml,84
449,brett,83
450,straw,83
451,refreshing,82
452,citra,82
453,cake,82
454,smoke,82
455,moderately,81
456,may,81
457,mixed,81
458,musty,81
459,consumed,81
460,noticeable,81
461,incredible,80
462,far,80
463,toasty,80
464,across,80
465,bomb,79
466,blueberry,79
467,goes,79
468,citrusy,79
469,another,79
470,bubbly,79
471,completely,78
472,lactic,78
473,topped,78
474,near,78
475,start,78
476,tones,78
477,whiskey,78
478,opens,78
479,massive,78
480,gets,77
481,ago,77
482,figs,77
483,point,77
484,bean,77
485,lovely,77
486,peaches,76
487,round,76
488,experience,76
489,decadent,76
490,didnt,76
491,motor,76
492,raspberries,76
493,interesting,76
494,days,75
495,prominent,75
496,drinks,75
497,things,75
498,ba,75
499,passion,74
500,coating,74
501,feels,74
502,gentle,74
503,want,74
504,see,73
505,perhaps,73
506,brandy,73
507,passionfruit,73
508,hit,72
509,dankness,72
510,real,72
511,marshmallow,72
512,world,72
513,immediately,71
514,chili,71
515,hits,71
516,peppery,71
517,take,71
518,berry,70
519,edges,70
520,linger,70
521,pith,69
522,mellow,69
523,legs,69
524,cola,69
525,swallow,69
526,ton,69
527,grapes,69
528,version,68
529,blanket,68
530,close,68
531,reviewed,68
532,typical,67
533,cut,67
534,sweeter,67
535,backbone,67
536,might,67
537,depth,66
538,unique,66
539,delicate,66
540,booziness,66
541,despite,66
542,double,66
543,film,66
544,wasnt,65
545,dates,65
546,hidden,65
547,add,65
548,vinegar,65
549,came,65
550,pungent,65
551,cellar,65
552,surface,65
553,oh,64
554,made,64
555,leave,64
556,draft,64
557,classic,63
558,soapy,63
559,barrels,63
560,trillium,63
561,else,63
562,fig,63
563,straight,63
564,purchased,62
565,anything,62
566,impressive,62
567,lambic,62
568,picked,62
569,ipas,62
570,damn,62
571,visible,62
572,layers,62
573,although,62
574,especially,62
575,go,62
576,dryness,62
577,lactose,62
578,finally,61
579,spotty,61
580,different,61
581,pithy,61
582,favorite,61
583,cold,61
584,coats,61
585,tiny,61
586,short,60
587,aggressive,60
588,mediumlight,60
589,give,60
590,certainly,60
591,robust,60
592,found,60
593,spices,59
594,bottom,59
595,banana,59
596,three,58
597,sugary,58
598,since,58
599,reduces,58
600,towards,58
601,expect,58
602,beans,58
603,year,58
604,galaxy,58
605,fruitiness,58
606,pear,57
607,enjoyed,57
608,find,57
609,beige,56
610,however,56
611,gives,56
612,pillowy,56
613,peppers,56
614,midpalate,56
615,weeks,55
616,mosaic,55
617,tangy,55
618,whole,55
619,tried,55
620,creaminess,55
621,powder,55
622,bottles,55
623,tannins,54
624,enjoyable,54
625,truly,54
626,nuts,54
627,room,54
628,tasty,54
629,treehouse,54
630,turbid,54
631,skin,54
632,second,54
633,shared,54
634,drying,54
635,lasting,54
636,warmed,54
637,grains,54
638,mind,54
639,earth,53
640,brownie,53
641,sticks,53
642,stuff,53
643,tall,53
644,highly,53
645,drinkability,53
646,darker,52
647,bakers,52
648,modest,52
649,bomber,52
650,aging,52
651,dominate,52
652,bad,52
653,nectarine,51
654,thought,51
655,vinous,51
656,keep,51
657,prickly,51
658,julius,51
659,easily,51
660,opened,50
661,part,50
662,punch,50
663,berries,50
664,plus,50
665,takes,50
666,wild,50
667,bacon,49
668,sort,49
669,ice,49
670,hype,49
671,hill,49
672,label,49
673,given,49
674,acid,49
675,earthiness,49
676,belgian,49
677,undertones,49
678,pure,48
679,held,48
680,strawberry,48
681,least,48
682,type,48
683,rings,48
684,seem,48
685,due,48
686,mildly,48
687,becomes,48
688,fair,48
689,cracker,47
690,shows,47
691,overpowering,47
692,flavour,47
693,making,47
694,anise,47
695,next,47
696,semidry,47
697,sherry,47
698,lively,47
699,age,47
700,purple,46
701,sides,46
702,follow,46
703,always,46
704,neipa,46
705,show,46
706,minutes,46
707,muted,46
708,tasted,46
709,trade,46
710,outstanding,46
711,upon,46
712,done,46
713,effervescent,46
714,regular,46
715,dipa,45
716,batter,45
717,line,45
718,work,45
719,burst,45
720,friend,45
721,resiny,45
722,cheese,45
723,jam,45
724,bar,45
725,pick,44
726,degrees,44
727,pouring,44
728,farmstead,44
729,apricots,44
730,leads,44
731,yeasty,44
732,open,44
733,form,44
734,butter,44
735,covered,43
736,rye,43
737,couple,43
738,overwhelming,43
739,pronounced,43
740,bittersweet,43
741,king,43
742,plums,43
743,compared,43
744,water,43
745,months,43
746,grainy,43
747,late,42
748,class,42
749,took,42
750,cantaloupe,42
751,night,42
752,herbs,42
753,weight,42
754,nibs,42
755,porter,42
756,froth,42
757,relatively,42
758,aspect,42
759,said,42
760,added,42
761,used,41
762,dessert,41
763,center,41
764,reddish,41
765,highlights,41
766,felt,41
767,throat,41
768,crown,41
769,standard,41
770,adding,41
771,either,41
772,residual,41
773,grain,41
774,biscuit,40
775,later,40
776,barley,40
777,courtesy,40
778,dough,40
779,thinner,40
780,sauce,40
781,rocky,40
782,reminds,40
783,milky,40
784,impression,40
785,seen,40
786,price,40
787,atop,40
788,worth,40
789,mediumfull,40
790,sense,40
791,must,40
792,consistency,39
793,initially,39
794,vibrant,39
795,others,39
796,gueuze,39
797,subdued,39
798,bubble,39
799,underneath,39
800,rounded,39
801,inviting,39
802,zero,39
803,particularly,38
804,mahogany,38
805,turns,38
806,combination,38
807,let,38
808,prefer,38
809,sugars,38
810,hues,38
811,thickness,38
812,eventually,38
813,rating,38
814,soy,38
815,fuller,38
816,ends,38
817,sharing,38
818,underlying,38
819,potent,38
820,freshly,38
821,place,38
822,powerful,38
823,exactly,38
824,mediumbodied,37
825,england,37
826,smelling,37
827,barleywine,37
828,fullbodied,37
829,fast,37
830,apples,37
831,harsh,37
832,cacao,37
833,thicker,37
834,overripe,37
835,creamsicle,37
836,fizz,37
837,crazy,37
838,tell,37
839,remains,37
840,zesty,37
841,gorgeous,36
842,growler,36
843,amounts,36
844,oats,36
845,dissipated,36
846,fuzzy,36
847,somehow,36
848,beautifully,36
849,wish,36
850,trying,36
851,colour,36
852,saison,36
853,true,36
854,put,36
855,basically,36
