,words,count
436,find,7
437,temperature,7
438,batch,7
439,"color,",7
440,style,7
441,5,7
442,decent,7
443,amazing.,7
444,can.,7
445,rather,7
446,fine,7
447,"tobacco,",7
448,excited,7
449,tree,7
450,does,7
451,warming,7
452,fruits,7
453,faint,7
454,things,7
455,earthy,7
456,looking,7
457,loads,7
458,lightly,7
459,nicely.,7
460,intense,7
461,roasty,7
462,honey,7
463,crisp,7
464,sticky,7
465,"me,",7
466,oaky,7
467,delicious,7
468,peppery,7
469,mellow,7
470,many,7
471,stone,7
472,boozy,7
473,ripe,7
474,particularly,7
475,cherry,7
476,mouthfeel:,7
477,750ml,7
478,smell:,7
479,murky,7
480,tasted,7
481,double,7
482,profile,7
483,chocolate.,7
484,gets,7
485,enjoyed,7
486,nose:,7
487,something,7
488,brew,7
489,"complex,",7
490,tulip,7
491,average,7
492,spicy,7
493,everything,7
494,cream,7
495,cloudy,7
496,dense,7
497,imperial,7
498,present.,6
499,highly,6
500,barrels,6
501,though,6
502,cap,6
503,milk,6
504,ruby,6
505,pink,6
506,down.,6
507,fluffy,6
508,want,6
509,tartness,6
510,we,6
511,always,6
512,"soft,",6
513,straight,6
514,ba,6
515,coffee.,6
516,probably,6
517,isn't,6
518,2019,6
519,now,6
520,used,6
521,apricot,6
522,end,6
523,beer!,6
524,lasting,6
525,"deep,",6
526,"again,",6
527,last,6
528,retention,6
529,"hops,",6
530,black.,6
531,date:,6
532,prominent,6
533,i'd,6
534,delicate,6
535,4,6
536,3,6
537,give,6
538,barrel.,6
539,between,6
540,"good,",6
541,"fruity,",6
542,"it,",6
543,"roast,",6
544,colour,6
545,again,6
546,done,6
547,adding,6
548,together,6
549,vinous,6
550,melon,6
551,since,6
552,those,6
553,"sour,",6
554,coast,6
555,drink.,6
556,ml,6
557,hoppy,6
558,incredible.,6
559,wild,6
560,palate.,6
561,"tart,",6
562,stouts,6
563,delightful,6
564,brewing,6
565,use,6
566,apple,6
567,character.,6
568,pour.,6
569,good.,6
570,getting,6
571,note.,6
572,starts,6
573,ends,6
574,pick,6
575,only,6
576,syrup,6
577,years,6
578,version,6
579,feel.,6
580,"glass,",6
581,top.,6
582,worth,6
583,shows,5
584,"palate,",5
585,"bitterness,",5
586,new,5
587,completely,5
588,burn,5
589,out.,5
590,earthiness.,5
591,similar,5
592,snifter.,5
593,courtesy,5
594,"plum,",5
595,"hay,",5
596,heat,5
597,warm,5
598,come,5
599,jammy,5
600,"grass,",5
601,"earthy,",5
602,"here,",5
603,cold,5
604,woody,5
605,vintage.,5
606,"apricot,",5
607,can't,5
608,sugary,5
609,bubbly,5
610,should,5
611,horse,5
612,"barrel,",5
613,fizzy,5
614,expected.,5
615,extremely,5
616,shared,5
617,tulip.,5
618,"strong,",5
619,"fudge,",5
620,"rich,",5
621,highlights.,5
622,plenty,5
623,juice,5
624,hot,5
625,forward,5
626,sip,5
627,charred,5
628,layered,5
629,cinnamon.,5
630,carb.,5
631,overly,5
632,four,5
633,clean,5
634,were,5
635,pitch,5
636,molasses,5
637,held,5
638,absolutely,5
639,"papaya,",5
640,"ipa,",5
641,flavour,5
642,malty,5
643,"cinnamon,",5
644,"heavy,",5
645,aroma:,5
646,burnt,5
647,degrees.,5
648,chocolatey,5
649,moderately,5
650,look:,5
651,level,5
652,date.,5
653,classic,5
654,tiny,5
655,"there,",5
656,massive,5
657,one!,5
658,resinous,5
659,funky,5
660,"char,",5
661,months,5
662,carb,5
663,couple,5
664,lingers,5
665,served,5
666,certainly,5
667,"flavor,",5
668,16,5
669,"peel,",5
670,off-white,5
671,tongue,5
672,don’t,5
673,sours,5
674,although,5
675,fades,5
676,chili,5
677,"medium,",5
678,received,5
679,march,5
680,"zest,",5
681,second,5
682,cheers!,5
683,sharp,5
684,"full,",5
685,different,5
686,cake,5
687,abv.,5
688,ton,5
689,thin.,4
690,"raisins,",4
691,next,4
692,"though,",4
693,inch,4
694,generous,4
695,lend,4
696,dank,4
697,"yellow,",4
698,fruit.,4
699,"cocoa,",4
700,"brew,",4
701,far,4
702,farmhouse,4
703,saison,4
704,came,4
705,trillium,4
706,profile.,4
707,presence.,4
708,licorice,4
709,barleywine,4
710,loved,4
711,why,4
712,frothy,4
713,"tartness,",4
714,"fresh,",4
715,make,4
716,excellent.,4
717,nbs,4
718,opens,4
719,must,4
720,foamy,4
721,srm,4
722,zero,4
723,prickly,4
724,toffee,4
725,made,4
726,clarity,4
727,feel:,4
728,pepper,4
729,sure.,4
730,bite,4
731,fully,4
732,perhaps,4
733,foam.,4
734,"barnyard,",4
735,straw,4
736,taking,4
737,citrusy,4
738,reddish,4
739,this.,4
740,believe,4
741,"cherry,",4
742,palate:,4
743,lively,4
744,2017,4
745,orange.,4
746,cans,4
747,collar,4
748,viscous,4
749,"cherries,",4
750,passion,4
751,wood,4
752,"body,",4
753,towards,4
754,barrel-aged,4
755,take,4
756,"sweetness,",4
757,layers,4
758,interesting,4
759,roast,4
760,250,4
761,school,4
762,makes,4
763,haven't,4
764,–,4
765,did,4
766,dark.,4
767,greets,4
768,saison.,4
769,airy,4
770,thing,4
771,"style,",4
772,raspberries,4
773,vinegar.,4
774,"fig,",4
775,through.,4
776,"juicy,",4
777,underneath,4
778,bif,4
779,nicely,4
780,pub,4
781,goes,4
782,stored,4
783,lemony,4
784,750,4
785,de,4
786,fantastic.,4
787,ipas,4
788,throughout,4
789,ale,4
790,darker,4
791,dry.,4
792,charts,4
793,cocoa,4
794,in.,4
795,bought,4
796,go,4
797,"colour,",4
798,tasting.,4
799,unique,4
800,"guava,",4
801,18,4
802,without,4
803,tasty,4
804,16oz,4
805,coming,4
806,having,4
807,lime,4
808,trade,4
809,logic,4
810,laces,4
811,"oaky,",4
812,absolute,4
813,"vinegar,",4
814,"bready,",4
815,f,4
816,be.,4
817,wheat,4
818,all.,4
819,vibrant,4
820,"coconut,",4
821,hit,4
822,malt.,4
823,grape,4
824,visible,4
825,"juice,",4
826,"lacing,",4
827,"tangerine,",4
828,personal,4
829,"flavors,",4
830,a:,4
831,robust,4
832,opened,4
833,crackery,4
834,sour.,4
835,mix,4
836,wow.,4
837,vinegar,4
838,m:,4
839,12,4
840,sip.,4
841,6,4
842,"in,",4
843,light.,4
844,ipa.,4
845,s,4
846,aging,4
847,create,4
848,sugar,4
849,tap,4
850,t,4
851,"initially,",4
852,anything,4
853,experience.,4
854,rind,4
855,velvety,4
856,silky,4
857,add,4
858,behind,4
859,l,4
860,"quickly,",4
861,o,4
862,buds,4
863,given,4
864,time.,4
865,minerality,4
866,years.,4
867,burn.,4
868,barley,4
869,"nectarine,",4
870,hope,4
871,wet,3
872,impressive,3
873,"fluffy,",3
874,distinct,3
875,coconut.,3
876,cherries,3
877,brewed,3
878,slowly,3
879,bready,3
880,back.,3
881,12oz,3
882,imagine,3
883,"grain,",3
884,settles,3
885,whiskey,3
886,(and,3
887,rustic,3
888,wonderful.,3
889,true,3
890,bomber,3
891,equally,3
