,words,count
420,3,6
421,"tart,",6
422,"deep,",6
423,"glass,",6
424,colour,6
425,used,6
426,date:,6
427,delicate,6
428,cap,6
429,"it,",6
430,2019,6
431,ruby,6
432,feel.,6
433,top.,6
434,always,6
435,barrels,6
436,highly,6
437,prominent,6
438,want,6
439,last,6
440,i'd,6
441,"good,",6
442,4,6
443,"again,",6
444,retention,6
445,"fruity,",6
446,straight,6
447,fluffy,6
448,"soft,",6
449,together,6
450,beer!,6
451,"roast,",6
452,lasting,6
453,give,6
454,milk,6
455,black.,6
456,pink,6
457,ba,6
458,drink.,6
459,hoppy,6
460,tartness,6
461,adding,6
462,starts,6
463,wild,6
464,incredible.,6
465,version,6
466,"sour,",6
467,vinous,6
468,down.,6
469,pour.,6
470,getting,6
471,delightful,6
472,ml,6
473,palate.,6
474,worth,6
475,end,6
476,present.,6
477,though,6
478,good.,6
479,barrel.,6
480,done,6
481,pick,6
482,ends,6
483,coast,6
484,melon,6
485,years,6
486,syrup,6
487,stouts,6
488,probably,6
489,since,6
490,coffee.,6
491,use,6
492,character.,6
493,note.,6
494,"hops,",6
495,cake,5
496,jammy,5
497,"ipa,",5
498,bubbly,5
499,courtesy,5
500,"earthy,",5
501,funky,5
502,horse,5
503,date.,5
504,woody,5
505,charred,5
506,earthiness.,5
507,out.,5
508,completely,5
509,fizzy,5
510,fades,5
511,look:,5
512,shows,5
513,"apricot,",5
514,burn,5
515,similar,5
516,"cinnamon,",5
517,cinnamon.,5
518,carb,5
519,malty,5
520,massive,5
521,couple,5
522,burnt,5
523,"char,",5
524,come,5
525,"grass,",5
526,"heavy,",5
527,classic,5
528,moderately,5
529,new,5
530,"barrel,",5
531,expected.,5
532,overly,5
533,juice,5
534,one!,5
535,months,5
536,molasses,5
537,"rich,",5
538,four,5
539,layered,5
540,off-white,5
541,flavour,5
542,warm,5
543,aroma:,5
544,shared,5
545,sours,5
546,"hay,",5
547,"full,",5
548,tulip.,5
549,cold,5
550,sip,5
551,"here,",5
552,forward,5
553,absolutely,5
554,chili,5
555,although,5
556,plenty,5
557,different,5
558,"strong,",5
559,sharp,5
560,ton,5
561,snifter.,5
562,"flavor,",5
563,pitch,5
564,vintage.,5
565,"bitterness,",5
566,cheers!,5
567,resinous,5
568,heat,5
569,16,5
570,"fudge,",5
571,hot,5
572,certainly,5
573,lingers,5
574,"there,",5
575,chocolatey,5
576,"papaya,",5
577,"palate,",5
578,second,5
579,"medium,",5
580,level,5
581,abv.,5
582,tongue,5
583,received,5
584,served,5
585,tiny,5
586,highlights.,5
587,"zest,",5
588,extremely,5
589,degrees.,5
590,"plum,",5
591,sugary,5
592,"peel,",5
593,carb.,5
594,held,5
595,march,5
596,can't,5
597,clean,5
598,don’t,5
599,far,4
600,towards,4
601,barrel-aged,4
602,orange.,4
603,l,4
604,hit,4
605,f,4
606,250,4
607,bif,4
608,saison,4
609,foamy,4
610,"cherry,",4
611,sugar,4
612,ale,4
613,given,4
614,fully,4
615,"oaky,",4
616,de,4
617,fantastic.,4
618,taking,4
619,crackery,4
620,citrusy,4
621,"guava,",4
622,"flavors,",4
623,2017,4
624,barley,4
625,excellent.,4
626,"juicy,",4
627,"nectarine,",4
628,vinegar,4
629,lively,4
630,wood,4
631,sure.,4
632,viscous,4
633,add,4
634,"bready,",4
635,opens,4
636,in.,4
637,"lacing,",4
638,cocoa,4
639,thing,4
640,clarity,4
641,"initially,",4
642,underneath,4
643,throughout,4
644,take,4
645,coming,4
646,make,4
647,cans,4
648,darker,4
649,foam.,4
650,next,4
651,"though,",4
652,"cherries,",4
653,believe,4
654,made,4
655,be.,4
656,through.,4
657,tasting.,4
658,lime,4
659,trillium,4
660,goes,4
661,feel:,4
662,"yellow,",4
663,ipas,4
664,interesting,4
665,licorice,4
666,go,4
667,nicely,4
668,fruit.,4
669,–,4
670,bought,4
671,silky,4
672,grape,4
673,straw,4
674,passion,4
675,vinegar.,4
676,"tartness,",4
677,visible,4
678,prickly,4
679,unique,4
680,generous,4
681,pub,4
682,malt.,4
683,came,4
684,lemony,4
685,profile.,4
686,750,4
687,"style,",4
688,minerality,4
689,"tangerine,",4
690,"fresh,",4
691,"colour,",4
692,toffee,4
693,dark.,4
694,dank,4
695,stored,4
696,dry.,4
697,time.,4
698,buds,4
699,anything,4
700,aging,4
701,"vinegar,",4
702,velvety,4
703,"body,",4
704,robust,4
705,school,4
706,opened,4
707,roast,4
708,18,4
709,this.,4
710,nbs,4
711,wheat,4
712,"juice,",4
713,without,4
714,"brew,",4
715,perhaps,4
716,12,4
717,absolute,4
718,years.,4
719,sour.,4
720,collar,4
721,palate:,4
722,barleywine,4
723,ipa.,4
724,reddish,4
725,personal,4
726,trade,4
727,laces,4
728,lend,4
729,"cocoa,",4
730,behind,4
731,logic,4
732,airy,4
733,"fig,",4
734,16oz,4
735,create,4
736,light.,4
737,"barnyard,",4
738,loved,4
739,presence.,4
740,rind,4
741,inch,4
742,thin.,4
743,frothy,4
744,experience.,4
745,zero,4
746,charts,4
747,sip.,4
748,mix,4
749,makes,4
750,"quickly,",4
751,burn.,4
752,"coconut,",4
753,tasty,4
754,greets,4
755,wow.,4
756,farmhouse,4
757,"sweetness,",4
758,a:,4
759,hope,4
760,bite,4
761,layers,4
762,6,4
763,all.,4
764,raspberries,4
765,"raisins,",4
766,tap,4
767,vibrant,4
768,"in,",4
769,m:,4
770,must,4
771,pepper,4
772,saison.,4
773,srm,4
774,acidity.,3
775,done.,3
776,cherry.,3
777,lends,3
778,bite.,3
779,"side,",3
780,bubble,3
781,track,3
782,despite,3
783,american,3
784,slow,3
785,takes,3
786,russian,3
787,begins,3
788,batter,3
789,that’s,3
790,"one,",3
791,secondary,3
792,raspberries.,3
793,again.,3
794,beautifully,3
795,home,3
796,"drying,",3
797,fruited,3
798,brown.,3
799,share,3
800,**,3
801,bold,3
802,"light,",3
803,coarse,3
804,"oil,",3
805,qualities,3
806,people,3
807,warms.,3
808,5.,3
809,craft,3
810,resin.,3
811,candied,3
812,boozy.,3
813,"resin,",3
814,opaque.,3
815,whether,3
816,them.,3
817,large,3
818,aggressive,3
819,inky,3
820,hill,3
821,10%,3
822,truly,3
823,"thin,",3
824,balance.,3
825,treat,3
826,chewy.,3
827,brownie,3
828,beige,3
829,viscosity,3
830,aromatic.,3
831,glad,3
832,due,3
833,creaminess,3
834,"bite,",3
835,mildly,3
836,persistent,3
837,stands,3
838,t-,3
839,"dipa,",3
840,live,3
841,kinda,3
842,pulpy,3
843,a-,3
844,often,3
845,round,3
846,blend.,3
847,back.,3
848,dc.,3
849,"end,",3
850,flat.,3
851,wait,3
852,four-pack,3
853,trying,3
854,hype,3
855,12oz,3
856,already,3
857,"prune,",3
858,imagine,3
859,wonderful.,3
860,whiskey,3
861,plus,3
862,yeast,3
863,slick,3
864,emitted.,3
865,quick,3
866,juicy.,3
867,several,3
868,hits,3
869,beautiful.,3
870,west,3
871,drinks,3
872,noticeable,3
873,relatively,3
874,holding,3
875,50°f.,3
876,rated,3
877,"like,",3
878,hype.,3
879,balances,3
880,expecting,3
881,extra,3
882,rustic,3
883,"years,",3
884,alone,3
885,bready,3
886,slowly,3
887,"very,",3
888,buy,3
889,foam,3
890,"front,",3
891,backbone,3
892,spot,3
893,lambic,3
894,bubbles.,3
895,natural,3
896,acidic,3
897,enjoyable.,3
898,barrels.,3
899,"age,",3
900,allowed,3
901,wine.,3
902,malts.,3
903,caramel.,3
904,mainly,3
905,especially,3
906,fruits.,3
907,point,3
908,though.,3
909,start,3
910,tannic,3
911,toast,3
912,refreshing,3
913,typical,3
914,virtually,3
915,mind,3
916,highest,3
917,original,3
918,"berries,",3
919,cork,3
920,bubbles,3
921,funk.,3
922,"roasty,",3
923,found,3
924,"smoke,",3
925,prefer,3
926,"vinous,",3
927,4.25,3
928,leaning,3
929,equally,3
930,lead,3
931,"dark,",3
932,mouthfeel/body:,3
933,glass;,3
934,receding,3
935,cherries,3
936,spice.,3
937,overbearing.,3
938,detect,3
939,drinkability,3
940,created,3
941,rimming,3
942,added,3
943,heat.,3
944,capped,3
945,julius,3
946,sides,3
947,usual,3
948,rich.,3
949,opportunity,3
950,can’t,3
951,keeps,3
952,spiciness,3
953,alcohol.,3
954,"acidity,",3
955,aftertaste,3
956,porter,3
957,eventually,3
958,gonna,3
959,"wine,",3
960,clear.,3
961,warming.,3
962,"great,",3
963,hear,3
964,distinct,3
965,project,3
966,gritty,3
967,"character,",3
968,lemons,3
969,molasses.,3
970,bomber,3
971,"floral,",3
972,drier,3
973,"fluffy,",3
974,that.,3
975,particular,3
976,fudge,3
977,proper,3
978,near,3
979,belgian,3
980,had.,3
981,decadent,3
982,marked,3
983,nuanced,3
984,balanced.,3
985,wonderfully,3
986,dessert,3
987,rating,3
988,dissipated,3
989,away,3
990,weeks,3
991,"syrup,",3
992,blown,3
993,underripe,3
994,effervescence,3
995,"apple,",3
996,viscosity.,3
997,"grain,",3
998,flavours,3
999,pepper.,3
1000,warms,3
1001,remarkable,3
1002,lost,3
1003,brewed,3
1004,quality,3
1005,"bright,",3
1006,"retention,",3
1007,drinkable.,3
1008,"white,",3
1009,"crisp,",3
1010,jump,3
1011,evident,3
1012,citrus.,3
1013,batch.,3
1014,more.,3
1015,sugar.,3
1016,tasty.,3
1017,wet,3
1018,doughy,3
1019,true,3
1020,picking,3
1021,fig,3
1022,barnyard,3
1023,complex.,3
1024,swallow,3
1025,"bitter,",3
1026,brett,3
1027,settles,3
1028,generously,3
1029,drink:,3
1030,day.,3
1031,(and,3
1032,edge,3
1033,is.,3
1034,grapes,3
1035,brews,3
1036,oily,3
1037,impressive,3
1038,april,3
1039,coconut.,3
1040,recommend,3
1041,bottling,3
1042,awesome.,3
1043,malted,3
1044,produces,3
1045,present,3
1046,hazy.,3
1047,"brown,",3
1048,"chewy,",3
1049,"abv,",3
1050,others,3
1051,picked,3
1052,whole,3
1053,great.,3
1054,initial,3
1055,flavorful.,3
1056,2,3
1057,someone,3
1058,"pepper,",3
1059,warmth,3
1060,"pear,",3
1061,effervescent,3
1062,background.,3
1063,june,3
1064,enjoying,3
1065,moderate.,3
1066,remains,3
1067,close,3
1068,bomb.,3
1069,better.,3
1070,s-,3
1071,recent,3
1072,sort,3
1073,depth,3
1074,expected,3
1075,impression,3
1076,oh,3
1077,enjoy,3
1078,dated,3
1079,let,3
1080,gentle,3
1081,reviewed,3
1082,"flavour,",3
1083,2021.,3
1084,surprising,3
1085,nutty,3
1086,"funky,",3
1087,tad,3
1088,lean,2
1089,"cream,",2
1090,rusty,2
1091,hues.,2
1092,rough,2
1093,jackie,2
1094,"out,",2
1095,job,2
1096,provides,2
1097,smelling,2
1098,"cans,",2
1099,rum.,2
1100,og,2
1101,covering,2
1102,dissipation,2
1103,coats,2
1104,lack,2
1105,inches.,2
1106,red.,2
1107,milky,2
1108,cap.,2
1109,hazelnuts,2
1110,"and,",2
1111,tried,2
1112,sourness,2
1113,brew:,2
1114,holds,2
1115,copper,2
1116,"degrees,",2
1117,stays,2
1118,"phenols,",2
1119,test,2
1120,fingernail,2
1121,weak,2
1122,char,2
1123,lasts.,2
1124,pint,2
1125,backbone.,2
1126,easily,2
1127,.,2
1128,6%.,2
